index,balance
300,2007.8665278157148
301,1987.7878625375577
302,1990.4999857443465
303,2010.40498560179
304,2035.978070297059
305,2015.6182895940885
306,2016.0753458955835
307,1996.9226301095746
308,1997.3141835664585
309,2017.287325402123
310,2012.2031053137084
311,2017.8605457493854
312,2018.1226055605214
313,2058.4850576717317
314,2037.9002070950144
315,2078.6582112369147
316,2074.6988622631293
317,2069.248174127953
318,2069.5580845687787
319,2048.862503723091
320,2050.714899959334
321,2051.0456604270694
322,2051.954991015436
323,2092.994090835745
324,2113.924031744102
325,2268.3768682570367
326,2268.817329784853
327,2297.951297525833
328,2343.9103234763497
329,2320.4712202415863
330,2320.811465288542
331,2297.6033506356566
332,2298.2380476938424
333,2344.2028086477194
334,2367.644836734197
335,2369.097903962518
336,2345.406924922893
337,2424.606897894929
338,2464.660453021924
339,2464.955621938453
340,2447.135379996302
341,2422.664026196339
342,2398.4373859343755
343,2374.453012075032
344,2481.179871161132
345,2473.2567757742313
346,2522.721911289716
347,2510.4032242588673
348,2528.300357293059
349,2503.017353720128
350,2477.9871801829267
351,2453.2073083810974
352,2428.6752352972862
353,2404.388482944313
354,2404.837062885161
355,2405.2243152302303
356,2394.6723633956717
357,2447.4960184705888
358,2533.060479276319
359,2583.721688861845
360,2714.1661662518422
361,2707.3709311322823
362,2699.0083954376655
363,2735.497782683249
364,2732.08653247919
365,2759.407397803982
366,2743.199228137268
367,2715.7672358558953
368,2688.6095634973362
369,2742.381754767283
370,2744.866358848613
371,2744.0397635795935
372,2884.120936949478
373,2890.250950090731
374,2870.269945805629
375,2898.9726452636855
376,2869.982918811049
377,2892.776406340157
378,2921.7041704035587
379,2913.048255586957
380,2883.9177730310876
381,2855.0785953007767
382,2849.6282222464106
383,2861.013100550602
384,2856.6412153632446
385,2913.7740396705094
386,2972.0495204639196
387,2987.9419260823865
388,2992.682710766776
389,2962.7558836591083
390,2933.1283248225172
391,2991.7908913189676
392,2992.2158616160295
393,3001.794017383046
394,2971.7760772092156
395,2942.0583164371233
396,2912.637733272752
397,2883.5113559400243
398,2854.676242380624
399,2826.1294799568177
400,2882.6520695559543
401,2853.8255488603945
402,2863.5128465950593
403,2879.473410002314
404,2850.6786759022907
405,2907.692249420337
406,2907.044787583421
407,2891.128388520182
408,2877.573844538884
409,2848.798106093495
410,2820.31012503256
411,2802.807695901429
412,2774.7796189424143
413,2774.1942223983315
414,2789.73927623074
415,2785.690987251411
416,2761.832059814303
417,2735.1126267864825
418,2725.500180131431
419,2710.0640358786504
420,2737.164676237437
421,2709.7930294750627
422,3006.0637340308413
423,2990.8475027605805
424,2960.939027732975
425,3042.026984509065
426,3073.66638730596
427,3208.9701178172168
428,3190.790544617566
